time,horiz_displacement,horiz_displacement_filt,vertical_displacement,vertical_displacement_filt,total_displacement,total_displacement_filt,total_displacement_filt_cum,horiz_azimuth,horiz_azimuth_filt,inclination,inclination_filt,hydrological_year,hydrological_month,year,month
2016-01-31,0.013507405,0.008732280,0.016300000,-0.012677244,0.021169317,0.015393675,0.015393675,340.089373869,18.475729196,50.352300640,-55.440333056,2016,4,2016,1
2016-02-29,0.002308679,0.007872906,-0.014500000,-0.003503124,0.014682643,0.008617107,0.024010782,274.969740728,70.549524241,-80.953344884,-23.987123271,2016,5,2016,2
2016-03-31,0.014066272,0.009749142,0.006500000,0.005566669,0.015495483,0.011226468,0.035237249,305.158868240,55.301406652,24.801577560,29.725962871,2016,6,2016,3
2016-04-30,0.003848376,0.005678062,-0.004900000,-0.000578253,0.006230570,0.005707431,0.040944680,294.567171321,41.668084813,-51.854514387,-5.814943830,2016,7,2016,4
2016-05-31,0.010089599,0.007060858,0.004700000,-0.004540548,0.011130588,0.008394778,0.049339458,320.630682758,17.322900239,24.977340151,-32.743409503,2016,8,2016,5
2016-06-30,0.009831073,0.006581136,0.002900000,0.008060033,0.010249878,0.010405550,0.059745008,350.633490043,25.976394175,16.435166057,50.767856507,2016,9,2016,6
2016-07-31,0.008962700,0.009096571,-0.002600000,0.004707322,0.009332202,0.010242387,0.069987395,324.536635758,43.746904712,-16.176975731,27.360800044,2016,10,2016,7
2016-08-31,0.008321658,0.010319130,0.008800000,-0.005668396,0.012111565,0.011773494,0.081760890,327.264773728,67.082278957,46.600301896,-28.780409162,2016,11,2016,8
2016-09-30,0.030678983,0.026737972,-0.018600000,-0.018631431,0.035877012,0.032589099,0.114349989,265.887771155,85.463503548,-31.227521844,-34.869378614,2016,12,2016,9
2016-10-31,0.011621101,0.011285131,-0.002700000,-0.008147705,0.011930633,0.013919025,0.128269014,307.658774189,53.957197014,-13.079816740,-35.828751603,2017,1,2016,10
2016-11-30,0.003860052,0.005808080,-0.004700000,-0.005864780,0.006081940,0.008254056,0.136523070,323.426969021,41.556804244,-50.604161857,-45.278309105,2017,2,2016,11
2016-12-31,0.014504137,0.005978192,-0.030000000,-0.001892633,0.033322215,0.006270633,0.142793703,346.442807070,19.557221655,-64.197568479,-17.567242104,2017,3,2016,12
