site_name,point_name,type,zone,fall,survey_date,e,n,h,time_diff,e_diff,n_diff,h_diff,vel2d,vel3d
COR_TGS1,COR_018,reference,rooting zone,NA,2009-08-25,783184.881,144660.295,2681.138,NA,NA,NA,NA,NA,NA
COR_TGS1,COR_018,reference,rooting zone,NA,2010-08-25,783184.86,144660.401,2681.095,365,-0.021,0.106,-0.043,0.108,0.116
COR_TGS1,COR_018,reference,rooting zone,NA,2011-08-25,783184.837,144660.506,2681.061,365,-0.023,0.105,-0.034,0.108,0.113
COR_TGS1,COR_018,reference,rooting zone,NA,2012-08-27,783184.77,144660.615,2681.072,368,-0.067,0.109,0.011,0.127,0.127
COR_TGS1,COR_018,reference,rooting zone,NA,2013-08-22,783184.734,144660.736,2680.974,360,-0.036,0.121,-0.098,0.128,0.162
COR_TGS1,COR_018,reference,rooting zone,NA,2014-07-24,783184.675,144660.846,2680.949,336,-0.059,0.11,-0.025,0.136,0.138
COR_TGS1,COR_018,reference,rooting zone,NA,2015-09-16,783184.617,144661.04,2680.881,419,-0.058,0.194,-0.068,0.177,0.186
COR_TGS1,COR_018,reference,rooting zone,NA,2017-08-20,783184.548,144661.212,2680.794,704,-0.069,0.172,-0.087,0.096,0.106
COR_TGS1,COR_018,reference,rooting zone,NA,2018-09-08,783184.494,144661.392,2680.767,384,-0.054,0.179,-0.027,0.178,0.18
COR_TGS1,COR_018,reference,rooting zone,NA,2019-09-15,783184.476,144661.492,2680.682,372,-0.018,0.101,-0.084,0.1,0.13
COR_TGS1,COR_018,reference,rooting zone,NA,2020-08-26,783184.435,144661.633,2680.643,346,-0.041,0.14,-0.039,0.154,0.16
COR_TGS1,COR_018,reference,rooting zone,NA,2021-08-28,783184.362,144661.784,2680.588,367,-0.073,0.151,-0.055,0.167,0.176
COR_TGS1,COR_018,reference,rooting zone,NA,2022-08-20,783184.3,144661.913,2680.525,357,-0.062,0.13,-0.063,0.147,0.161
COR_TGS1,COR_018,reference,rooting zone,NA,2023-08-19,783184.232,144662.04,2680.492,364,-0.068,0.126,-0.033,0.144,0.148
COR_TGS1,COR_019,reference,rooting zone,NA,2009-08-25,783173.876,144691.901,2672.717,NA,NA,NA,NA,NA,NA
COR_TGS1,COR_019,reference,rooting zone,NA,2010-08-25,783173.854,144691.999,2672.672,365,-0.022,0.098,-0.045,0.101,0.11
COR_TGS1,COR_019,reference,rooting zone,NA,2011-08-25,783173.829,144692.095,2672.642,365,-0.025,0.096,-0.03,0.099,0.104
COR_TGS1,COR_019,reference,rooting zone,NA,2012-08-27,783173.758,144692.198,2672.654,368,-0.071,0.103,0.012,0.124,0.125
COR_TGS1,COR_019,reference,rooting zone,NA,2013-08-22,783173.735,144692.318,2672.564,360,-0.023,0.12,-0.09,0.124,0.154
COR_TGS1,COR_019,reference,rooting zone,NA,2014-07-24,783173.669,144692.425,2672.528,336,-0.066,0.107,-0.036,0.137,0.142
COR_TGS1,COR_019,reference,rooting zone,NA,2015-09-16,783173.609,144692.599,2672.459,419,-0.06,0.174,-0.069,0.16,0.171
COR_TGS1,COR_019,reference,rooting zone,NA,2017-08-20,783173.532,144692.766,2672.362,704,-0.077,0.167,-0.097,0.095,0.108
COR_TGS1,COR_019,reference,rooting zone,NA,2018-09-08,783173.498,144692.925,2672.33,384,-0.035,0.159,-0.033,0.155,0.158
COR_TGS1,COR_019,reference,rooting zone,NA,2019-09-15,783173.485,144693.023,2672.256,372,-0.012,0.098,-0.074,0.097,0.121
COR_TGS1,COR_019,reference,rooting zone,NA,2020-08-26,783173.45,144693.161,2672.213,346,-0.035,0.138,-0.043,0.151,0.158
COR_TGS1,COR_019,reference,rooting zone,NA,2021-08-28,783173.392,144693.302,2672.155,367,-0.058,0.141,-0.058,0.151,0.162
COR_TGS1,COR_019,reference,rooting zone,NA,2022-08-20,783173.34,144693.424,2672.094,357,-0.051,0.122,-0.06,0.136,0.149
COR_TGS1,COR_019,reference,rooting zone,NA,2023-08-19,783173.283,144693.534,2672.067,364,-0.057,0.11,-0.027,0.125,0.128
COR_TGS1,COR_020,reference,center,NA,2009-08-25,783158.601,144704.559,2668.148,NA,NA,NA,NA,NA,NA
COR_TGS1,COR_020,reference,center,NA,2010-08-25,783158.558,144704.631,2668.081,365,-0.043,0.072,-0.067,0.084,0.107
COR_TGS1,COR_020,reference,center,NA,2011-08-25,783158.525,144704.705,2668.047,365,-0.033,0.074,-0.034,0.081,0.088
